nflId,height,weight,birthDate,collegeName,position,displayName
2540162,71,195,1991-02-09,Rutgers,CB,Logan Ryan
2550613,71,190,1990-03-02,West Alabama,CB,Malcolm Butler
2555158,71,212,1993-08-17,Middle Tennessee,FS,Kevin Byard
2555320,6-2,242,07/08/1993,UCLA,OLB,Aaron Wallace
2558005,72,226,1995-02-26,UCLA,ILB,Jayon Brown
2558065,71,185,1995-09-18,Southern California,CB,Adoree' Jackson
2649,71,185,1985-11-02,Texas Tech,WR,Danny Amendola
2532956,76,207,1988-07-27,Texas A&M,QB,Ryan Tannehill
2540202,73,202,1992-04-22,Oklahoma,WR,Kenny Stills
2555230,73,211,1994-01-26,Alabama,RB,Kenyan Drake
2556190,67,169,1992-10-30,Texas Tech,WR,Jakeem Grant
2560994,78,252,1995-10-03,Penn State,TE,Mike Gesicki
2495469,68,195,1990-09-27,Pittsburgh,RB,Dion Lewis
2495966,74,248,1984-08-12,Central Missouri State,TE,Delanie Walker
2532903,6-0,217,10/12/1989,Nevada,WR,Rishard Matthews
2552466,76,222,1993-10-30,Oregon,QB,Marcus Mariota
2555317,74,194,1994-12-23,Massachusetts,WR,Tajae Sharpe
2557848,75,209,1995-01-11,Western Michigan,WR,Corey Davis
496739,6-1,215,02/25/1988,Georgia,SS,Reshad Jones
2539309,6-2,215,01/26/1991,USC,SS,T.J. McDonald
2539935,75,239,1990-08-14,Oregon,OLB,Kiko Alonso
2552434,71,192,1993-08-18,Memphis,CB,Bobby McCain
2555539,73,200,1993-07-04,Baylor,CB,Xavien Howard
2558070,74,242,1995-11-17,Ohio State,LB,Raekwon McMillan
2560725,73,207,1996-11-17,Alabama,S,Minkah Fitzpatrick
2555339,75,241,1994-04-27,Boise State,ILB,Kamalei Correa
2561328,76,250,1995-10-01,Temple,OLB,Sharif Finch
2552580,6-5,240,09/20/1991,Arkansas,TE,A.J. Derby
2550272,69,195,1992-07-12,Georgia State,WR,Albert Wilson
496828,6-4,261,01/06/1989,Georgia Tech,OLB,Derrick Morgan
2541539,71,225,1990-11-27,Auburn,ILB,Daren Bates
2555551,72,203,1993-09-18,Southern Utah,CB,LeShaun Sims
2506404,69,212,1983-05-14,Miami,RB,Frank Gore
2540013,73,235,1989-09-19,Nebraska,ILB,Will Compton
2560880,78,260,1995-08-09,Notre Dame,TE,Durham Smythe
2556075,75,247,1994-01-04,Alabama,RB,Derrick Henry
2558207,75,248,1995-08-22,Florida International,TE,Jonnu Smith
2495441,77,235,1989-10-15,Missouri,QB,Blaine Gabbert
2557870,71,205,1995-03-02,Western Kentucky,WR,Taywan Taylor
2495234,77,253,1988-07-17,Tennessee,TE,Luke Stocker
2560966,74,225,1996-12-25,Ohio State,LB,Jerome Baker
2559043,75,246,1993-08-29,Southern Illinois,OLB,Chase Allen
2553896,70,180,1992-06-28,Virginia,WR,Darius Jennings
2559053,71,188,1995-04-10,Nevada-Las Vegas,CB,Torry McTyer
496735,70,185,1988-04-10,Alabama,CB,Kareem Jackson
2495872,71,185,1984-04-16,South Carolina,CB,Johnathan Joseph
2533049,76,258,1990-07-21,Illinois,OLB,Whitney Mercilus
2540180,69,190,1992-05-13,Louisiana State,FS,Tyrann Mathieu
2543501,72,191,1991-10-02,Oklahoma,CB,Aaron Colvin
2552261,72,185,1992-08-05,Wake Forest,CB,Kevin Johnson
2558094,75,238,1994-12-02,Vanderbilt,ILB,Zach Cunningham
2560851,73,204,1997-02-15,Stanford,SS,Justin Reid
497240,78,265,1989-05-14,Arizona,TE,Rob Gronkowski
2504211,76,225,1977-08-03,Michigan,QB,Tom Brady
2530515,73,210,1987-10-24,"Monmouth, N.J.",WR,Chris Hogan
2539265,70,215,1990-07-02,Nebraska,RB,Rex Burkhead
2543773,70,205,1992-02-03,Wisconsin,RB,James White
2552424,70,192,1993-01-05,Miami,WR,Phillip Dorsett
2552490,76,257,1992-11-19,Mississippi State,ILB,Benardrick McKinney
2533046,6-4,260,02/24/1990,Clemson,TE,Dwayne Allen
2533034,70,221,1991-04-25,Miami,RB,Lamar Miller
2540165,73,212,1992-06-06,Clemson,WR,DeAndre Hopkins
2543646,5-9,200,08/22/1991,South Carolina,WR,Bruce Ellington
2558063,74,221,1995-09-14,Clemson,QB,Deshaun Watson
2560896,77,277,1996-08-02,Mississippi State,TE,Jordan Thomas
2561427,75,202,1996-06-09,Limestone,WR,Vyncint Smith
71251,71,215,1987-08-19,Oregon,SS,Patrick Chung
494287,70,195,1987-08-13,Rutgers,FS,Devin McCourty
2533057,75,260,1990-03-12,Alabama,MLB,Dont'a Hightower
2533062,73,202,1990-09-19,South Carolina,CB,Stephon Gilmore
2552255,73,205,1992-10-03,Utah,CB,Eric Rowe
2556119,72,238,1994-04-22,Houston,MLB,Elandon Roberts
2556571,70,190,1993-09-20,Auburn,CB,Jonathan Jones
2560951,76,243,1992-04-19,Central Florida,TE,Jordan Akins
2541243,73,205,1991-01-24,Rutgers,FS,Duron Harmon
2543699,75,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy
2541316,78,255,1990-01-11,Connecticut,TE,Ryan Griffin
2561143,74,255,1996-08-24,Purdue,LB,Ja'Whaun Bentley
2559211,5-9,198,06/16/1993,Iowa,WR,Riley McCarron
2508101,75,255,1988-07-23,Brown,FB,James Develin
2543603,73,230,1992-10-20,LSU,RB,Jeremy Hill
2552470,6-1,210,03/31/1993,Auburn,WR,Sammie Coates
2559152,72,237,1994-05-19,Missouri State,ILB,Dylan Cole
2555234,70,185,1993-10-07,San Jose State,RB,Tyler Ervin
2540145,74,238,1991-03-17,Tennessee,WR,Cordarrelle Patterson
2543600,6-2,225,04/27/1991,LSU,RB,Alfred Blue
89756,71,195,1987-08-13,Rutgers,CB,Jason McCourty
2506581,74,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick
2543468,77,231,1993-08-21,Texas A&M,WR,Mike Evans
2550656,77,245,1991-07-03,Harvard,TE,Cameron Brate
2556466,71,225,1994-02-27,Auburn,RB,Peyton Barber
2557856,78,250,1994-11-18,Alabama,TE,O.J. Howard
2558105,73,209,1996-02-27,Penn State,WR,Chris Godwin
494261,71,208,1988-04-01,Ohio State,SS,Kurt Coleman
2533008,74,248,1989-01-11,Arkansas State,ILB,Demario Davis
2555530,71,205,1994-12-12,Ohio State,FS,Vonn Bell
2556735,73,180,1993-02-08,Colorado,CB,Ken Crawley
2558061,72,192,1996-05-20,Ohio State,CB,Marshon Lattimore
2558163,75,240,1994-09-22,Florida,OLB,Alex Anzalone
2558847,73,195,1996-09-08,Utah,FS,Marcus Williams
2495471,5-6,205,02/06/1990,Oregon State,RB,Jacquizz Rodgers
2553895,71,195,1993-06-24,Clemson,WR,Adam Humphries
2508084,71,191,1987-09-07,Florida State,CB,Patrick Robinson
1581,70,175,1986-12-01,California,WR,DeSean Jackson
2495272,6-2,203,02/23/1989,California,SS,Chris Conte
2532828,73,233,1990-01-23,Nebraska,OLB,Lavonte David
2550565,72,230,1990-09-21,Florida Atlantic,MLB,Adarius Taylor
2552592,73,227,1994-08-03,Louisiana State,MLB,Kwon Alexander
2555299,70,204,1995-06-03,Florida,CB,Vernon Hargreaves III
2557945,72,199,1995-08-26,Texas A&M,SS,Justin Evans
2560884,71,205,1995-09-16,North Carolina,CB,M.J. Stewart
2504775,72,209,1979-01-15,Purdue,QB,Drew Brees
2539303,73,233,1990-04-26,Southern Methodist,FB,Zach Line
2541834,77,250,1990-05-21,Idaho State,TE,Josh Hill
2556370,75,212,1993-03-03,Ohio State,WR,Michael Thomas
2558019,70,215,1995-07-25,Tennessee,RB,Alvin Kamara
2560878,74,210,1996-01-07,Central Florida,WR,Tre'Quan Smith
2555552,71,190,1993-09-07,North Carolina Central,CB,Ryan Smith
2506122,75,255,1980-12-18,Georgia,TE,Benjamin Watson
2507166,71,180,1985-04-12,Ohio State,WR,Ted Ginn
2558928,73,195,1993-12-25,Northwestern,WR,Austin Carr
2561039,73,206,1996-12-31,Auburn,CB,Carlton Davis
2550223,6-0,195,09/07/1991,North Greenville,WR,Freddie Martino
2556508,6-1,235,07/02/1993,Memphis,TE,Alan Cross
2559044,78,256,1993-05-28,"Laval, Can.",TE,Antony Auclair
2539277,73,241,1991-01-26,Notre Dame,MLB,Manti Te'o
2539982,73,240,1991-07-30,Iowa State,OLB,A.J. Klein
2556752,67,168,1992-10-24,Northern Illinois,WR,Tommylee Lewis
2539663,5-11,210,11/01/1990,Florida,RB,Mike Gillislee
2555227,72,217,1994-02-02,Arkansas,RB,Jonathan Williams
2495211,6-1,242,08/09/1989,Nebraska,TE,Niles Paul
2543477,77,236,1992-04-28,Central Florida,QB,Blake Bortles
2543683,6-5,262,09/29/1992,Washington,TE,Austin Seferian-Jenkins
2553318,76,245,1992-01-14,Illinois State,TE,James O'Shaughnessy
2557973,72,228,1995-01-18,Louisiana State,RB,Leonard Fournette
2561018,76,198,1996-09-23,Louisiana State,WR,D.J. Chark
71197,6-4,255,10/15/1986,Cincinnati,OLB,Connor Barwin
2532875,70,190,1988-10-29,North Alabama,CB,Janoris Jenkins
2540143,75,250,1991-09-25,Georgia,LB,Alec Ogletree
2543738,78,262,1992-02-19,North Carolina,OLB,Kareem Martin
2552454,72,218,1994-01-10,Alabama,SS,Landon Collins
2555277,73,203,1995-08-09,Ohio State,CB,Eli Apple
2555522,73,242,1993-05-29,Clemson,ILB,B.J. Goodson
2543614,74,215,1993-08-06,Mississippi,WR,Donte Moncrief
2552471,73,223,1993-10-02,Alabama,RB,T.J. Yeldon
2557895,72,176,1993-11-21,Oklahoma,WR,Dede Westbrook
2559153,73,194,1993-04-20,Kentucky Wesleyan,WR,Keelan Cole
2539338,71,190,1990-05-03,William & Mary,CB,B.W. Webb
2541792,75,220,1991-03-05,Miami,OLB,Ray-Ray Armstrong
2553822,72,190,1992-07-18,Fresno State,FS,Curtis Riley
2561015,77,250,1995-12-10,Georgia,OLB,Lorenzo Carter
2535687,71,195,1990-03-17,Stanford,SS,Michael Thomas
494259,6-2,218,02/11/1988,Toledo,SS,Barry Church
2532848,73,212,1990-08-07,Wyoming,FS,Tashaun Gipson
2539237,71,190,1990-06-27,Houston,CB,D.J. Hayden
2539662,75,249,1990-08-26,Florida,DE,Lerentee McCray
2541162,72,191,1991-08-16,Central Florida,CB,A.J. Bouye
2543711,6-3,215,04/11/1991,Florida State,OLB,Telvin Smith
2555280,73,208,1994-10-24,Florida State,CB,Jalen Ramsey
2555329,73,244,1995-09-03,UCLA,OLB,Myles Jack
2505996,6-5,218,01/03/1981,Mississippi,QB,Eli Manning
2543496,71,198,1992-11-05,Louisiana State,WR,Odell Beckham Jr.
2543590,75,222,1992-10-10,Indiana,WR,Cody Latimer
2555295,70,201,1993-02-10,Oklahoma,WR,Sterling Shepard
2557858,75,240,1994-09-02,Mississippi,TE,Evan Engram
2557952,72,210,1994-10-01,Clemson,RB,Wayne Gallman
2532835,6-5,255,10/03/1988,USC,TE,Rhett Ellison
2540225,6-1,246,09/10/1990,Wake Forest,FB,Tommy Bohanon
2560968,72,233,1997-02-09,Penn State,RB,Saquon Barkley
2560758,74,245,1995-10-03,Wisconsin,LB,Leon Jacobs
2550599,77,255,1992-04-13,Assumption,TE,Scott Simonson
2561008,75,214,1997-04-18,Alabama,DB,Ronnie Harrison
949,5-10,245,03/21/1987,Oregon,RB,Jonathan Stewart
2559254,6-1,240,08/21/1993,San Jose State,FB,Shane Smith
2553650,5-11,203,12/19/1991,Auburn,RB,Corey Grant
2556711,74,210,1994-02-09,Michigan,SS,Jarrod Wilson
2506340,76,213,1984-05-07,Utah,QB,Alex Smith
2540011,68,195,1990-10-20,Florida State,RB,Chris Thompson
2540160,74,242,1990-07-03,Florida,TE,Jordan Reed
2543491,72,180,1992-04-13,Colorado,WR,Paul Richardson
2552415,69,177,1993-06-17,Duke,WR,Jamison Crowder
2555343,74,205,1992-12-03,Texas Christian,WR,Josh Doctson
2495504,73,203,1990-07-11,Louisiana State,CB,Patrick Peterson
2495807,71,201,1984-07-27,Howard,FS,Antoine Bethea
2539932,71,192,1990-09-29,Boise State,CB,Jamar Taylor
2543769,73,211,1992-08-30,Washington State,ILB,Deone Bucannon
2543830,73,205,1992-06-25,North Carolina,FS,Tre Boston
2557887,73,235,1994-09-22,Temple,ILB,Haason Reddick
2558009,70,195,1996-01-10,Washington,FS,Budda Baker
2507164,73,220,1985-03-21,Oklahoma,RB,Adrian Peterson
2530491,73,235,1989-08-24,Auburn,ILB,Josh Bynes
2495826,6-3,248,01/31/1984,Maryland,TE,Vernon Davis
2495190,76,265,1988-08-16,Purdue,OLB,Ryan Kerrigan
2495281,6-1,250,03/01/1989,Washington,ILB,Mason Foster
2532804,6-1,250,10/23/1989,North Carolina,ILB,Zach Brown
2532920,72,200,1987-12-15,Coastal Carolina,CB,Josh Norman
2539943,70,205,1991-09-01,South Carolina,FS,D.J. Swearinger
2552276,77,265,1992-11-17,Mississippi State,OLB,Preston Smith
2553796,74,202,1992-07-22,Florida,CB,Quinton Dunbar
2558133,6-2,212,12/04/1995,Michigan State,FS,Montae Nicholson
2558136,72,204,1994-04-09,UCLA,CB,Fabian Moreau
497095,6-4,224,11/08/1987,Oklahoma,QB,Sam Bradford
2506106,75,218,1983-08-31,Pittsburgh,WR,Larry Fitzgerald
2553435,73,224,1991-12-16,Northern Iowa,RB,David Johnson
2558208,74,204,1994-10-19,Grambling,WR,Chad Williams
2559248,77,243,1995-03-15,Texas A&M,TE,Ricky Seals-Jones
2560781,71,200,1996-11-18,Texas A&M,WR,Christian Kirk
2557880,76,245,1994-02-20,Louisville,ILB,Josh Harvey-Clemons
2557886,77,255,1994-08-10,Arkansas,TE,Jeremy Sprinkle
2560711,69,210,1996-04-13,Fordham,RB,Chase Edmonds
2556414,6-0,229,10/03/1992,Tulane,RB,Rob Kelley
2495201,75,265,1988-12-17,Mississippi State,OLB,Pernell McPhee
2557853,74,253,1994-08-12,Alabama,OLB,Ryan Anderson
2553658,6-5,255,03/29/1991,Purdue,TE,Gabe Holmes
2553687,6-2,238,03/28/1991,Utah State,MLB,Zach Vigil
2560886,72,181,1996-03-08,Virginia Tech,DB,Greg Stroman
2558174,72,204,1994-11-01,Auburn,S,Rudy Ford
2534436,6-0,204,02/14/1989,Florida,WR,Deonte Thompson
2539336,68,185,1990-03-15,West Virginia,WR,Tavon Austin
2553454,76,260,1993-09-16,Texas,TE,Geoff Swaim
2553743,75,236,1992-01-10,Ohio State,RB,Rod Smith
2555224,72,228,1995-07-22,Ohio State,RB,Ezekiel Elliott
2555260,74,238,1993-07-29,Mississippi State,QB,Dak Prescott
80668,5-9,195,04/10/1988,South Carolina,CB,Captain Munnerlyn
2495339,5-11,205,11/16/1988,North Carolina,SS,Da'Norris Searcy
2505708,5-11,205,03/24/1981,Delaware,FS,Mike Adams
2533056,6-3,238,04/20/1991,Boston College,MLB,Luke Kuechly
2552447,72,230,1994-04-21,Washington,OLB,Shaq Thompson
2555175,73,212,1993-08-04,Samford,CB,James Bradberry
2560753,70,180,1995-11-08,Louisiana State,CB,Donte Jackson
496937,74,245,1986-07-22,Penn State,ILB,Sean Lee
2541832,73,212,1991-05-14,Saginaw Valley State,SS,Jeff Heath
2552568,72,205,1992-09-26,Connecticut,CB,Byron Jones
2555531,71,196,1993-12-15,Purdue,CB,Anthony Brown
2555536,72,220,1994-08-11,Central Michigan,SS,Kavon Frazier
